"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.029228503E0,1.651168684E-3,1.058629481E-3,-7.513642049E-5
3.039228668E0,4.294382525E-4,-1.631010236E-4,-6.860016729E-4
3.051226766E0,-1.814269781E-4,4.477642069E-4,5.357288173E-4
3.063224631E0,-2.014022786E-3,1.058629481E-3,1.146594062E-3
3.075223029E0,-3.846618347E-3,-7.739662542E-4,1.146594062E-3
3.087221494E0,2.262033988E-3,-1.631010236E-4,2.368324436E-3
3.099220292E0,-1.814269781E-4,-7.739662542E-4,1.146594062E-3
3.111219190E0,-1.814269781E-4,1.058629481E-3,-7.513642049E-5
3.123218220E0,-1.814269781E-4,1.058629481E-3,-7.513642049E-5
3.135216950E0,-7.922922377E-4,1.058629481E-3,-6.860016729E-4
3.147215680E0,-1.814269781E-4,-7.739662542E-4,-6.860016729E-4
3.158418730E0,-7.922922377E-4,-7.739662542E-4,5.357288173E-4
3.170416727E0,-7.922922377E-4,-1.384831499E-3,2.368324436E-3
3.182415025E0,4.294382525E-4,1.669494784E-3,2.368324436E-3
3.194413490E0,4.294382525E-4,4.477642069E-4,-6.860016729E-4
3.206411955E0,-1.814269781E-4,1.669494784E-3,-1.296866918E-3
3.218410386E0,-7.922922377E-4,-7.739662542E-4,-6.860016729E-4
3.230409517E0,-7.922922377E-4,-1.384831499E-3,-6.860016729E-4
3.242408182E0,-1.814269781E-4,1.058629481E-3,-2.518597292E-3
3.254406647E0,2.872899408E-3,2.280360088E-3,1.146594062E-3
3.266404612E0,-7.922922377E-4,-2.606561873E-3,-1.296866918E-3
3.278402144E0,1.040303498E-3,-1.384831499E-3,-6.860016729E-4
3.290400609E0,1.040303498E-3,-7.739662542E-4,-7.513642049E-5
3.302399141E0,4.294382525E-4,1.669494784E-3,-1.907732105E-3
3.314397739E0,-1.814269781E-4,-7.739662542E-4,-6.860016729E-4
3.326396570E0,1.040303498E-3,4.477642069E-4,-1.296866918E-3
3.338395968E0,-1.814269781E-4,4.112955648E-3,5.357288173E-4
3.350394499E0,-2.014022786E-3,-1.995696686E-3,1.146594062E-3
3.362392729E0,-1.403157483E-3,-7.739662542E-4,-1.907732105E-3
3.374391395E0,4.294382525E-4,4.477642069E-4,5.357288173E-4
3.386390591E0,-1.814269781E-4,-1.995696686E-3,-1.907732105E-3
3.398389921E0,-1.814269781E-4,-1.631010236E-4,-2.518597292E-3
3.410389118E0,-1.814269781E-4,-2.606561873E-3,-6.860016729E-4
3.422388816E0,-7.922922377E-4,-1.631010236E-4,-6.860016729E-4
3.434387682E0,-1.814269781E-4,-1.631010236E-4,-7.513642049E-5
3.446386114E0,-1.403157483E-3,4.477642069E-4,-6.860016729E-4
3.458384579E0,1.040303498E-3,-2.606561873E-3,-6.860016729E-4
3.470383611E0,-1.814269781E-4,-1.631010236E-4,-6.860016729E-4
3.482381809E0,-7.922922377E-4,-7.739662542E-4,-6.860016729E-4
3.494379841E0,-1.403157483E-3,-2.606561873E-3,1.146594062E-3
3.506378473E0,-7.922922377E-4,-1.384831499E-3,1.146594062E-3
3.518376938E0,4.294382525E-4,4.477642069E-4,5.357288173E-4
3.530374769E0,4.294382525E-4,4.477642069E-4,-7.513642049E-5
3.542372800E0,-2.014022786E-3,1.058629481E-3,1.146594062E-3
3.554371999E0,2.872899408E-3,2.891225042E-3,1.757459249E-3
3.566370531E0,-2.624887973E-3,4.477642069E-4,-6.860016729E-4
3.578367996E0,-1.814269781E-4,-7.739662542E-4,-1.296866918E-3
3.590366461E0,-1.814269781E-4,-1.631010236E-4,-1.296866918E-3
3.602365359E0,4.294382525E-4,-7.739662542E-4,-1.296866918E-3
3.614363591E0,-1.814269781E-4,-1.384831499E-3,5.357288173E-4
3.626362089E0,4.294382525E-4,4.477642069E-4,-2.518597292E-3
3.638360621E0,-7.922922377E-4,1.058629481E-3,5.357288173E-4
3.650359153E0,1.040303498E-3,-1.995696686E-3,1.146594062E-3
3.662357218E0,1.040303498E-3,4.477642069E-4,5.357288173E-4
3.674355683E0,-1.814269781E-4,3.502090462E-3,-7.513642049E-5
3.686353981E0,-7.922922377E-4,-1.384831499E-3,1.146594062E-3
3.698353313E0,2.262033988E-3,-1.384831499E-3,5.357288173E-4
3.710351778E0,1.040303498E-3,1.669494784E-3,-7.513642049E-5
3.722350710E0,4.294382525E-4,-1.995696686E-3,5.357288173E-4
3.734349108E0,-1.403157483E-3,-1.384831499E-3,-2.518597292E-3
3.746348238E0,-7.922922377E-4,1.058629481E-3,-7.513642049E-5
3.758346901E0,-7.922922377E-4,-1.995696686E-3,5.357288173E-4
3.770345564E0,-7.922922377E-4,1.058629481E-3,-7.513642049E-5
3.782344160E0,-7.922922377E-4,4.477642069E-4,5.357288173E-4
3.794342423E0,2.262033988E-3,-1.631010236E-4,-6.860016729E-4
3.806340488E0,-7.922922377E-4,-1.631010236E-4,-7.513642049E-5
3.818338386E0,4.294382525E-4,-2.606561873E-3,-7.513642049E-5
3.830336851E0,-1.814269781E-4,4.477642069E-4,1.146594062E-3
3.842335249E0,-1.814269781E-4,-7.739662542E-4,-1.907732105E-3
3.854334114E0,4.294382525E-4,-2.606561873E-3,-6.860016729E-4
3.866332579E0,1.651168684E-3,-1.631010236E-4,5.357288173E-4
3.878330777E0,-1.814269781E-4,2.280360088E-3,-1.907732105E-3
3.890328242E0,4.294382525E-4,-1.631010236E-4,-1.296866918E-3
3.902326774E0,4.294382525E-4,-7.739662542E-4,5.357288173E-4
3.914325239E0,-2.624887973E-3,2.280360088E-3,-1.296866918E-3
3.926323704E0,-2.624887973E-3,-1.384831499E-3,1.757459249E-3
3.938323002E0,-1.814269781E-4,1.058629481E-3,-7.513642049E-5
3.950321967E0,-1.814269781E-4,4.477642069E-4,-2.518597292E-3
3.962320432E0,3.483764362E-3,1.669494784E-3,-1.907732105E-3
3.974318964E0,1.651168684E-3,1.669494784E-3,5.357288173E-4
3.986317429E0,4.294382525E-4,-7.739662542E-4,-1.296866918E-3
3.998314894E0,-7.922922377E-4,-1.631010236E-4,-1.296866918E-3
4.010313792E0,-1.814269781E-4,-7.739662542E-4,-1.296866918E-3
4.022312257E0,1.040303498E-3,1.058629481E-3,-1.296866918E-3
4.034310389E0,9.767734446E-4,1.611462445E-3,-1.117883483E-3
4.046308887E0,-1.466687419E-3,1.611462445E-3,1.038470946E-4
4.058308186E0,-2.449569583E-4,3.897320421E-4,-5.070181214E-4
4.070306718E0,-8.558222326E-4,1.611462445E-3,7.147123106E-4
4.082304917E0,3.659082868E-4,1.611462445E-3,-1.117883483E-3
4.094303615E0,1.587638748E-3,-2.053729026E-3,-5.070181214E-4
4.106301980E0,9.767734446E-4,1.611462445E-3,1.038470946E-4
4.118300612E0,3.659082868E-4,1.000597258E-3,-1.117883483E-3
4.130299077E0,3.659082868E-4,-2.211332176E-4,-5.070181214E-4
4.142297875E0,-8.558222326E-4,3.897320421E-4,7.147123106E-4
4.154296539E0,-1.466687419E-3,2.833193168E-3,1.936442801E-3
4.166295369E0,9.767734446E-4,-8.319984772E-4,-5.070181214E-4
4.178293265E0,-2.449569583E-4,1.000597258E-3,-5.070181214E-4
4.190292262E0,-1.466687419E-3,-1.442863722E-3,-5.070181214E-4
4.202290792E0,-2.449569583E-4,-1.442863722E-3,7.147123106E-4
4.214289290E0,-2.688417910E-3,-2.664594213E-3,-1.117883483E-3
4.226287655E0,3.659082868E-4,2.222327748E-3,1.936442801E-3
4.238286887E0,1.587638748E-3,-1.442863722E-3,7.147123106E-4
4.250284952E0,-1.466687419E-3,-8.319984772E-4,-1.728748670E-3
4.262283383E0,-2.077552723E-3,-2.211332176E-4,1.038470946E-4
4.274281848E0,-2.449569583E-4,-2.053729026E-3,-5.070181214E-4
4.286280313E0,-8.558222326E-4,-8.319984772E-4,-5.070181214E-4
4.298278778E0,-2.449569583E-4,1.000597258E-3,-1.117883483E-3
4.310277243E0,-8.558222326E-4,-2.053729026E-3,1.038470946E-4
4.322275808E0,-1.466687419E-3,-2.053729026E-3,1.038470946E-4
4.334274273E0,-8.558222326E-4,-1.442863722E-3,1.325577614E-3
4.346272605E0,-2.077552723E-3,-8.319984772E-4,1.325577614E-3
4.358271303E0,-2.077552723E-3,1.611462445E-3,1.325577614E-3
4.370269768E0,2.809369238E-3,-1.442863722E-3,-2.950479044E-3
4.382268233E0,-2.449569583E-4,1.000597258E-3,1.325577614E-3
4.394266765E0,1.587638748E-3,-3.886324586E-3,2.547307871E-3
4.406265495E0,1.587638748E-3,1.000597258E-3,-5.070181214E-4
4.418264359E0,-1.466687419E-3,1.000597258E-3,-1.117883483E-3
4.430263390E0,3.659082868E-4,-8.319984772E-4,1.038470946E-4
4.442263088E0,-1.466687419E-3,-8.319984772E-4,-5.070181214E-4
4.454262851E0,9.767734446E-4,-1.442863722E-3,1.038470946E-4
4.466262681E0,-2.449569583E-4,-2.211332176E-4,1.936442801E-3
4.478261745E0,3.659082868E-4,3.897320421E-4,-5.070181214E-4
4.488261776E0,-1.466687419E-3,-2.211332176E-4,7.147123106E-4
4.500260939E0,-8.558222326E-4,-2.211332176E-4,1.038470946E-4
4.512260037E0,-2.449569583E-4,-8.319984772E-4,1.325577614E-3
4.524258969E0,3.659082868E-4,-2.211332176E-4,-1.117883483E-3
4.536258268E0,-2.077552723E-3,1.611462445E-3,-5.070181214E-4
4.548256733E0,-8.558222326E-4,-2.053729026E-3,1.038470946E-4
4.560255231E0,3.659082868E-4,-8.319984772E-4,-5.070181214E-4
4.572253763E0,-3.299283329E-3,-2.053729026E-3,1.038470946E-4
4.584252228E0,-8.558222326E-4,1.000597258E-3,-2.339613857E-3
4.596250693E0,3.659082868E-4,2.222327748E-3,1.038470946E-4
4.608249091E0,-2.077552723E-3,-2.053729026E-3,-5.070181214E-4
4.620247556E0,-8.558222326E-4,3.897320421E-4,1.936442801E-3
4.632246021E0,3.659082868E-4,-8.319984772E-4,1.038470946E-4
4.644244553E0,-1.466687419E-3,1.000597258E-3,1.325577614E-3
4.656242951E0,3.659082868E-4,3.897320421E-4,1.325577614E-3
4.668241416E0,-8.558222326E-4,4.054923542E-3,-1.117883483E-3
4.680239881E0,-1.466687419E-3,1.611462445E-3,1.038470946E-4
4.692238346E0,-2.449569583E-4,1.611462445E-3,1.325577614E-3
