"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.309729090E0,6.392713785E-1,-4.381522834E-1,9.797372818E0
2.321728288E0,6.273000240E-1,-5.339232683E-1,9.794978142E0
2.333727286E0,6.392713785E-1,-6.081457734E-1,9.835680962E0
2.345725286E0,6.464542150E-1,-6.296942830E-1,9.878777504E0
2.357723751E0,6.273000240E-1,-6.560313106E-1,9.883566856E0
2.369722216E0,6.608198285E-1,-6.512427330E-1,9.876383781E0
2.381720681E0,6.775797606E-1,-6.584255695E-1,9.852440834E0
2.393719146E0,6.632141471E-1,-6.368771195E-1,9.840469360E0
2.405717377E0,5.913859010E-1,-5.865973234E-1,9.864412308E0
2.417715842E0,5.650488734E-1,-5.506832004E-1,9.835680962E0
2.429714307E0,5.195576549E-1,-5.482889414E-1,9.840469360E0
2.441712772E0,4.884320498E-1,-5.267404318E-1,9.830892563E0
2.453710437E0,5.315290093E-1,-4.980091453E-1,9.816526413E0
2.465709935E0,5.746259689E-1,-4.213923812E-1,9.806949615E0
2.477708667E0,6.488484740E-1,-4.357580245E-1,9.768641472E0
2.489707599E0,6.368771195E-1,-4.692778587E-1,9.761458397E0
2.501706397E0,6.751855016E-1,-5.363175869E-1,9.768641472E0
2.513705595E0,7.182824612E-1,-5.602602959E-1,9.766246796E0
2.525703260E0,7.302538157E-1,-5.746259689E-1,9.830892563E0
2.537701525E0,7.063110471E-1,-6.249057055E-1,9.826104164E0
2.549699490E0,7.063110471E-1,-6.153286099E-1,9.840469360E0
2.561697555E0,7.087053657E-1,-6.608198285E-1,9.833286285E0
2.573696087E0,7.326480746E-1,-5.698373914E-1,9.878777504E0
2.585694352E0,6.799740195E-1,-6.775797606E-1,9.785401344E0
2.597692817E0,6.727912426E-1,-6.033572555E-1,9.828497887E0
2.609691248E0,7.158881426E-1,-5.458946824E-1,9.859623909E0
2.621689713E0,7.015225291E-1,-5.865973234E-1,9.790189743E0
2.633688178E0,6.488484740E-1,-5.818088055E-1,9.759063721E0
2.645685977E0,6.273000240E-1,-5.674431324E-1,9.787795067E0
2.657684573E0,6.703969240E-1,-5.243461728E-1,9.835680962E0
2.669683303E0,6.560313106E-1,-5.602602959E-1,9.823709488E0
2.681681966E0,6.320885420E-1,-6.057515144E-1,9.799766541E0
2.693680629E0,6.751855016E-1,-6.320885420E-1,9.816526413E0
2.705679593E0,7.063110471E-1,-6.344828010E-1,9.847652435E0
2.717678058E0,7.206767201E-1,-6.201171875E-1,9.823709488E0
2.729676223E0,7.302538157E-1,-6.081457734E-1,9.814132690E0
2.741674322E0,7.326480746E-1,-6.273000240E-1,9.809344292E0
2.753672787E0,7.134938836E-1,-6.584255695E-1,9.766246796E0
2.765671751E0,7.134938836E-1,-6.464542150E-1,9.811738014E0
