"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.979002510E0,-8.212742209E-1,-4.068588018E-1,-9.394369125E-1
3.989002510E0,-1.286774278E0,-4.668278098E-1,-8.029747009E-1
3.999002510E0,-1.482545376E0,-2.796430588E-1,-1.247867584E0
4.009002510E0,-1.178935528E0,-1.542693675E-1,-1.594890594E0
4.019002510E0,-8.994381428E-1,-1.841930747E-1,-1.770235062E0
4.029002510E0,-6.884233952E-1,-2.761826813E-1,-2.020919800E0
4.039002510E0,-7.554524541E-1,-5.830725431E-1,-2.240563393E0
4.049002510E0,-9.473259449E-1,-6.229420900E-1,-2.218141556E0
4.059002510E0,-1.212155223E0,-6.228921413E-1,-2.099875450E0
4.069002510E0,-1.301372766E0,-5.868515968E-1,-1.893523693E0
4.079002510E0,-8.816744089E-1,-4.591066539E-1,-1.975076675E0
4.089002510E0,-2.561237812E-1,-4.100686908E-1,-1.997374058E0
4.099002510E0,7.152336836E-2,-2.627897263E-1,-1.617883682E0
4.109002510E0,1.565901637E-1,-1.510834694E-1,-1.319768906E0
4.119002510E0,8.397829533E-2,2.568620443E-2,-6.905822754E-1
4.129002510E0,-1.241177320E-2,2.293878198E-1,-4.006462097E-1
4.139002510E0,1.177603006E-1,6.031792164E-1,-7.327117920E-1
4.149002510E0,3.149383664E-1,7.286740541E-1,-9.278888702E-1
4.159002510E0,6.989754438E-1,7.311487198E-1,-1.086948395E0
4.169002976E0,6.835805774E-1,6.257278919E-1,-1.137623787E0
4.179002976E0,4.090932310E-1,4.601131082E-1,-1.245575905E0
4.189002976E0,2.184559107E-1,3.639305234E-1,-1.190436363E0
4.199002976E0,-6.642168760E-2,1.361631751E-1,-1.132849693E0
4.219002042E0,-2.135731727E-1,-3.100840449E-1,-1.286334991E0
