"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.890004665E0,1.336464286E-2,-1.483793743E-2,-1.795768738E-3
1.900004665E0,5.836740136E-3,4.849508405E-3,-1.137733459E-2
1.910004665E0,1.090608537E-3,-9.504433721E-3,-1.137733459E-2
1.920004665E0,-1.437641680E-3,1.213467121E-2,1.256465912E-2
1.930004665E0,8.165873587E-3,-1.662547141E-2,-6.589889526E-3
1.940004665E0,3.088183701E-3,7.611226290E-3,-1.804351807E-3
1.950004665E0,1.515891775E-2,1.483034343E-2,-6.592750549E-3
1.960004665E0,-6.868027151E-3,-6.829984486E-3,-1.377677917E-2
1.970004665E0,-2.450890839E-3,5.204029381E-3,-1.809120178E-3
1.980004665E0,-7.944554090E-5,-1.147088408E-2,-1.856994629E-2
1.990004665E0,-5.010515451E-5,1.010392234E-2,-1.810073853E-3
2.000004665E0,7.179819047E-3,1.019863412E-2,-1.138687134E-2
2.010004665E0,-2.410359681E-3,-4.152387381E-3,-8.992195129E-3
2.020005131E0,7.268950343E-3,-1.666836441E-3,5.855560303E-4
2.030005131E0,-7.057592273E-3,-1.710899174E-3,-6.597518921E-3
2.040005131E0,-6.958208978E-3,3.113862127E-3,-6.597518921E-3
2.050005131E0,-9.435638785E-3,-1.842997223E-2,-1.809120178E-3
2.060005131E0,-1.153277606E-2,-3.719840199E-3,-1.377964020E-2
2.080004664E0,3.032810986E-3,3.562588245E-3,-8.989334106E-3
2.090004664E0,-1.837268472E-3,5.989223719E-3,5.865097046E-4
2.100004664E0,7.723741233E-3,1.160100102E-3,-1.808166504E-3
2.110004664E0,-9.006805718E-3,5.974903703E-3,1.255798340E-2
2.120004664E0,-8.946828544E-3,-1.070506871E-2,-1.138496399E-2
2.130004664E0,3.182388842E-3,-1.301077195E-2,5.874633789E-4
2.140004664E0,7.719621062E-4,2.046824247E-2,1.255893707E-2
2.150004664E0,-1.110006124E-2,-1.540959254E-2,-4.200935364E-3
2.160004664E0,8.083388209E-3,-5.806352943E-3,-6.595611572E-3
2.170004664E0,-8.692786098E-3,-5.847141147E-3,5.884170532E-4
2.180004664E0,-8.705742657E-3,6.138976663E-3,7.770538330E-3
2.190004664E0,3.301739693E-3,-8.325930685E-3,-1.377677917E-2
2.200004664E0,1.291942596E-2,6.023325026E-3,5.884170532E-4
2.210004664E0,-1.097795367E-2,1.301418990E-3,-8.988380432E-3
2.220004664E0,-1.093726605E-2,3.679487854E-3,1.016616821E-2
2.230004664E0,1.059503108E-2,1.561010256E-2,-6.593704224E-3
2.240004664E0,5.780443549E-3,-3.514658660E-3,-6.594657898E-3
2.250004664E0,1.048282534E-2,-1.171179116E-3,5.884170532E-4
2.260004664E0,5.692549050E-3,-1.077618822E-2,-1.377677917E-2
2.270005164E0,8.777007461E-4,1.558986679E-2,-4.199981689E-3
2.280005164E0,8.102953434E-3,3.630124032E-3,-6.594657898E-3
2.290005164E0,-1.580048352E-2,-1.202099025E-3,5.893707275E-4
2.300005164E0,-3.782041371E-3,-1.107316464E-3,5.884170532E-4
2.310005164E0,-1.583491266E-2,-1.075029373E-3,-6.594657898E-3
2.330004697E0,8.888393641E-4,3.812752664E-3,-1.807212830E-3
2.340004697E0,6.096370518E-3,1.214161515E-3,-1.138019562E-2
2.350004697E0,1.105266064E-2,1.320383325E-2,-1.137924194E-2
2.360004697E0,-9.348094463E-4,1.076898724E-2,-8.983612061E-3
2.370004697E0,-9.640529752E-4,3.560025245E-3,-1.802444458E-3
2.380004697E0,1.578266546E-2,5.968630314E-3,-8.985519409E-3
2.390004697E0,6.234906614E-3,-5.976408720E-3,-6.590843201E-3
2.400004697E0,-2.030519396E-2,1.051329076E-3,5.379676819E-3
2.410004697E0,2.053584531E-2,5.438998342E-4,-1.377010345E-2
2.430004330E0,-8.036188781E-3,1.023697853E-2,5.950927734E-4
2.440004330E0,6.273791194E-3,-4.625599831E-3,5.970001221E-4
2.450004330E0,8.645057678E-3,-4.541035742E-3,-1.798629761E-3
2.460004330E0,-1.287113875E-2,-4.459537566E-3,-1.137542725E-2
2.470004330E0,1.591710374E-2,-1.880059764E-2,1.017284393E-2
2.480004330E0,1.828536019E-2,2.777244896E-3,-1.137542725E-2
2.490004330E0,-1.279789209E-2,5.183033645E-3,-6.587028503E-3
2.500004330E0,-7.203817368E-4,1.227672771E-2,-4.190444946E-3
2.510004330E0,4.045404494E-3,-1.158097386E-2,-6.586074829E-3
2.520004796E0,2.085553482E-2,2.934776247E-3,-1.137447357E-2
2.530004796E0,-1.093769073E-2,-4.265941679E-3,-1.377391815E-2
2.540004796E0,-4.161030054E-3,3.106318414E-3,-1.138305664E-2
2.550004796E0,-8.920304477E-3,7.381103933E-4,-1.377677917E-2
2.560004796E0,5.603097379E-3,-1.114487648E-2,5.378723145E-3
2.580004296E0,-8.747369051E-3,-3.448370844E-3,2.213573456E-2
2.590004296E0,-3.974877298E-3,-1.094743609E-3,-1.807212830E-3
2.600004296E0,1.042010635E-2,6.114408374E-3,-1.617240906E-2
2.610004296E0,-1.353267580E-2,-3.392700106E-3,-4.200935364E-3
2.620004296E0,-3.483779728E-3,1.121060178E-2,-4.199028015E-3
2.630004296E0,-5.415096879E-3,1.822828501E-2,1.256465912E-2
2.640004296E0,8.979722857E-3,-8.997954428E-4,-1.800537109E-3
2.650004296E0,-5.283467472E-3,-8.081123233E-4,7.777214050E-3
2.660004296E0,-2.846844494E-3,1.117470860E-2,-1.616573334E-2
2.670004296E0,-4.131793976E-4,8.736945689E-3,-1.616477966E-2
2.680004296E0,4.475921392E-3,-8.459221572E-3,-2.095127106E-2
2.690004296E0,9.332597256E-3,-6.582736969E-3,1.735877991E-2
2.700004296E0,-3.291144967E-4,-6.605844945E-3,7.781982422E-3
2.710004296E0,-2.676323056E-3,-8.905321360E-3,7.781982422E-3
2.720004662E0,-3.255605698E-4,8.315619081E-3,5.960464478E-4
2.730004662E0,1.169274747E-2,-3.561250865E-3,5.970001221E-4
2.740004662E0,-7.432296872E-3,-1.141034067E-3,7.780075073E-3
2.750004662E0,2.260424197E-3,2.287897095E-2,-4.190444946E-3
2.760004662E0,4.760809243E-3,1.241210848E-3,-1.137256622E-2
2.770005162E0,-1.939741522E-2,-1.350115798E-2,7.781982422E-3
2.780005162E0,-2.179935575E-3,1.282385737E-2,-1.792907715E-3
2.790005162E0,2.179205790E-2,3.272902220E-3,2.996444702E-3
2.800005162E0,2.688534558E-3,-3.996200860E-3,-8.975028992E-3
2.810005162E0,3.919601440E-4,-1.117061451E-2,-6.579399109E-3
2.830004695E0,-1.773908734E-4,5.343526602E-3,5.998611450E-4
2.840004695E0,-3.043264151E-3,7.500536740E-3,-4.190444946E-3
2.850004695E0,-1.052933186E-2,1.183401421E-2,-6.585121155E-3
2.870004495E0,-7.749497890E-4,-3.583222628E-3,-6.580352783E-3
2.880004495E0,4.052735865E-3,8.344255388E-3,6.027221680E-4
2.890004495E0,-5.448393524E-3,-6.400693208E-3,6.055831909E-4
2.900004495E0,-4.732683301E-4,5.184881389E-3,-6.574630737E-3
2.910004495E0,-9.889870882E-3,-4.748683423E-3,6.113052368E-4
2.920004495E0,-7.438547909E-3,-9.512446821E-3,3.005981445E-3
2.930004495E0,4.565127194E-3,-9.431019425E-3,6.113052368E-4
2.940004495E0,-2.578489482E-3,-9.474888444E-3,-4.177093506E-3
2.950004495E0,-1.435354352E-4,-1.188536361E-2,-8.965492249E-3
2.960004495E0,9.512364864E-3,4.985071719E-4,-1.136016846E-2
2.970004661E0,2.236522734E-3,5.361653864E-3,-1.136207581E-2
2.980004661E0,-2.505160868E-3,7.850326598E-3,7.792472839E-3
2.990005161E0,1.196578145E-2,5.602717400E-3,-4.179000854E-3
3.000005161E0,-2.850592136E-5,-1.107245311E-2,5.397796631E-3
3.010005161E0,-1.191203296E-2,-3.811012954E-3,3.004074097E-3
3.020005627E0,-9.512998164E-3,-1.569911279E-2,6.093978882E-4
3.030005627E0,7.224015892E-3,3.539845347E-3,-8.968353271E-3
3.040005627E0,-1.434382051E-2,-1.344878227E-3,-8.968353271E-3
3.050005627E0,2.448461950E-3,3.525201231E-3,6.084442139E-4
3.060005627E0,1.685808226E-2,1.314170659E-2,-1.786231995E-3
3.080005127E0,1.448989660E-2,1.311236247E-2,6.093978882E-4
3.090005127E0,-2.715483308E-3,-1.519806683E-3,-6.575584412E-3
3.100005127E0,6.379976869E-3,3.101207316E-3,-1.790046692E-3
3.110005127E0,8.745007217E-3,-4.107758403E-3,-1.615524292E-2
3.120005127E0,-1.322808862E-2,-4.250433296E-3,6.017684937E-4
3.130005127E0,-1.557215303E-2,-1.607170142E-2,5.390167236E-3
3.140005127E0,-2.522099763E-2,-6.532471627E-3,-8.975028992E-3
3.150005127E0,-7.465109229E-4,-1.100358367E-2,-6.579399109E-3
3.160005327E0,-5.548201501E-3,9.823888540E-4,6.036758423E-4
3.170005327E0,9.248502553E-3,1.236155629E-3,6.055831909E-4
3.180005327E0,-2.993494272E-4,1.262295991E-3,6.055831909E-4
3.200005027E0,2.294033766E-5,-1.080624759E-3,-6.575584412E-3
3.210005027E0,2.582103014E-3,-6.176643074E-4,-8.970260620E-3
3.220005027E0,-6.789363921E-3,-2.565089613E-3,-4.181861877E-3
3.230005027E0,-6.799399853E-3,2.293445170E-3,-1.136493683E-2
3.240005027E0,3.573074937E-4,-2.465933561E-3,-6.576538086E-3
3.250005027E0,7.579341531E-3,-4.904076457E-3,6.065368652E-4
3.260005027E0,-4.338271916E-3,-1.930054650E-2,-1.854801178E-2
3.270005360E0,1.011693478E-2,-4.328746349E-3,3.000259399E-3
3.280005360E0,1.246917248E-2,5.736794323E-3,-1.791000366E-3
3.300786906E0,-4.284448922E-3,-3.729324788E-3,-6.580352783E-3
3.310786906E0,-4.352949560E-3,-6.105974317E-3,1.017856598E-2
3.330786439E0,2.725422382E-4,1.141551882E-3,-1.793861389E-3
3.340786439E0,7.497519255E-3,5.941402167E-3,2.996444702E-3
3.350786905E0,7.471494377E-3,-6.000600755E-3,-1.376438141E-2
3.360786905E0,5.057938397E-3,3.480345011E-3,-1.137065887E-2
3.370786905E0,-6.856575608E-3,-1.086074114E-2,-4.187583923E-3
3.380786905E0,-9.221471846E-3,5.925446749E-3,-1.792907715E-3
3.390786905E0,-1.163869351E-2,1.221727580E-3,-6.582260132E-3
3.400786905E0,-1.530572772E-3,-2.506132051E-2,1.257610321E-2
3.410786905E0,8.030265570E-3,-1.073662937E-2,-4.183769226E-3
3.420786905E0,1.045076549E-2,-5.977127701E-3,-1.615428925E-2
3.430786905E0,5.716010928E-3,-1.558512449E-2,-1.136589050E-2
3.440786905E0,7.700547576E-4,6.375189871E-3,-8.975028992E-3
3.450786905E0,7.985323668E-3,1.668367535E-3,-8.974075317E-3
3.460786905E0,2.763926983E-3,-9.848210961E-3,7.781028748E-3
3.470786905E0,7.179722190E-3,-4.524618387E-3,-4.195213318E-3
3.480786905E0,-1.205582172E-2,7.479492575E-3,2.987861633E-3
3.490787205E0,-4.889234900E-3,2.556443214E-4,5.931854248E-4
3.500787205E0,4.716947675E-3,-9.295534343E-3,5.381584167E-3
3.510787205E0,1.433636248E-2,5.081623793E-3,-4.195213318E-3
3.520787671E0,6.657533348E-3,7.795330137E-3,-2.335453033E-2
3.530787671E0,1.898162067E-3,-6.544198841E-3,2.983093262E-3
3.540787671E0,1.431934536E-3,-1.646362245E-3,2.980232239E-3
3.550787671E0,-5.708463490E-3,7.942371070E-3,-8.991241455E-3
3.560787671E0,8.753433824E-3,5.529012531E-3,-6.596565247E-3
3.580787171E0,-8.597671986E-4,5.628433079E-3,-1.377964020E-2
3.590787171E0,1.347986609E-2,1.523489505E-2,-2.096271515E-2
3.600787171E0,1.114252955E-2,3.288116306E-3,-8.991241455E-3
3.610787171E0,-1.383036375E-3,4.248209298E-4,-8.993148804E-3
3.620787171E0,1.110613346E-3,-6.721775979E-3,-1.138782501E-2
3.630787171E0,-1.299843192E-3,4.202872515E-4,-1.378154755E-2
3.640787171E0,-6.104476750E-3,-1.159165613E-2,-1.617622375E-2
3.660786704E0,7.955841720E-3,6.328709424E-4,-8.996009827E-3
3.670786704E0,-6.481371820E-3,7.778029889E-3,-1.813888550E-3
3.680786704E0,-6.553083658E-3,1.013442874E-2,-1.813888550E-3
3.690786704E0,-4.181735218E-3,6.420798600E-4,2.974510193E-3
3.700786704E0,-8.986376226E-3,-1.136986353E-2,-1.139163971E-2
3.710786704E0,-8.957125247E-3,6.276518106E-4,1.255130768E-2
3.720786704E0,8.265174925E-3,-8.878130466E-3,-1.811981201E-3
3.730786704E0,-3.673739731E-3,-1.613654196E-3,-6.600379944E-3
3.740786704E0,-5.897261202E-3,-3.934185952E-3,5.372047424E-3
3.750786704E0,1.370093971E-2,-8.483704180E-3,5.855560303E-4
3.760786704E0,6.560549140E-3,8.287854493E-3,5.855560303E-4
3.770787204E0,-2.972759306E-3,1.144215465E-3,-4.201889038E-3
3.780787204E0,-1.969035715E-2,3.550011665E-3,-8.990287781E-3
3.790787204E0,6.620608270E-3,3.579448909E-3,-1.138496399E-2
3.800787204E0,8.995063603E-3,8.508145809E-3,-6.597518921E-3
3.810787204E0,1.839432493E-2,-1.517172903E-3,-4.202842712E-3
3.830786737E0,6.579101086E-3,3.331977874E-3,-8.989334106E-3
3.840786737E0,-1.494003087E-2,-1.579588279E-2,-1.617240906E-2
3.850786737E0,-1.255874336E-2,-6.203968078E-3,1.974105835E-2
3.860786737E0,-2.952314913E-3,-1.389082521E-3,-1.808166504E-3
3.870786737E0,-1.002278179E-2,5.815152079E-3,2.982139587E-3
3.880786737E0,-4.726514220E-3,8.347630501E-3,-1.138114929E-2
3.890786737E0,1.692817733E-2,-3.712832928E-3,-6.591796875E-3
3.900786737E0,-7.100671530E-3,-1.369092613E-3,2.985954285E-3
3.910786737E0,7.238954306E-3,1.054551452E-3,-1.138019562E-2
3.920786737E0,1.691840962E-2,1.551169530E-2,-6.591796875E-3
3.930786737E0,2.677887678E-4,-1.281928271E-3,7.775306702E-3
3.940786737E0,1.662134752E-2,8.016414940E-4,5.903244019E-4
3.950787203E0,-7.728300989E-3,-8.849695325E-3,-4.199981689E-3
