"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.555636024E0,2.377915196E-2,2.957137488E-2,-6.337910146E-2
2.567634489E0,1.889222860E-2,3.629089519E-2,-7.254208624E-2
2.579632887E0,7.896655239E-3,2.224099264E-2,-6.826601923E-2
2.591631419E0,-1.287276391E-2,-1.929784380E-2,-3.711189702E-2
2.603629751E0,-3.058785573E-2,-2.723909169E-2,1.603338122E-2
2.615628216E0,-3.852910176E-2,-3.415347543E-3,6.368087232E-2
2.627626614E0,-2.386833727E-2,5.136766005E-3,8.139596134E-2
2.639625212E0,-2.488054102E-3,4.525900353E-3,6.490260363E-2
2.651622744E0,2.744434401E-2,8.607091149E-4,2.092030086E-2
2.663621409E0,4.393770546E-2,-5.247943569E-3,-2.794891782E-2
2.675620407E0,4.332683980E-2,5.136766005E-3,-5.849217996E-2
2.687618872E0,2.622261271E-2,3.915035166E-3,-6.215737015E-2
2.699617203E0,1.583790220E-2,-1.563265175E-2,-4.138795286E-2
2.711616601E0,9.118385613E-3,-3.151514754E-2,-5.346903112E-3
2.723615066E0,7.896655239E-3,-2.051957510E-2,3.130501136E-2
2.735612564E0,6.674924400E-3,5.747631192E-3,5.329615995E-2
2.747611161E0,3.620598232E-3,1.674320549E-2,5.024183169E-2
2.759609891E0,-1.266323728E-3,1.429974474E-2,2.947241627E-2
2.771608554E0,-1.104016788E-2,1.368887909E-2,-4.599815293E-4
2.783607150E0,-9.207571857E-3,1.185628306E-2,-2.489459142E-2
2.795606647E0,-1.266323728E-3,1.246714871E-2,-3.283583745E-2
2.807605178E0,8.507520892E-3,3.304170212E-3,-2.245113067E-2
2.817605210E0,6.064059213E-3,-1.868698001E-2,-2.903442597E-3
2.829603608E0,3.009733045E-3,-3.334774449E-2,3.008328006E-2
2.841602940E0,-5.542380270E-3,-1.685438305E-2,4.596577957E-2
2.853601539E0,-1.775968634E-2,-3.610213753E-4,4.902010411E-2
2.865600004E0,-2.081401087E-2,1.307801437E-2,2.580722421E-2
2.877597669E0,-1.348362863E-2,1.857580245E-2,-9.622960351E-3
2.889596134E0,7.896655239E-3,8.801957592E-3,-4.871833324E-2
2.901593866E0,2.866607346E-2,3.304170212E-3,-6.398996711E-2
2.913591764E0,4.760289937E-2,-1.135659590E-2,-5.482698977E-2
2.925590229E0,5.248981714E-2,-1.807611249E-2,-1.939680427E-2
2.937587694E0,3.660732135E-2,-2.193617169E-3,2.702895366E-2
2.949586159E0,1.095098071E-2,-1.582751865E-3,5.573961884E-2
2.961583724E0,-7.374976296E-3,-1.380005665E-2,5.207442865E-2
2.973582222E0,-1.837055013E-2,-1.563265175E-2,2.214203216E-2
2.985580620E0,-1.959228143E-2,-1.135659590E-2,-1.328815147E-2
2.997579252E0,-1.348362863E-2,8.607091149E-4,-3.527930006E-2
3.009577784E0,-9.818436578E-3,1.063455269E-2,-2.184026502E-2
3.021576382E0,-4.320649896E-3,5.136766005E-3,1.983479597E-3
3.033574780E0,-4.459316187E-5,-8.302269503E-3,3.130501136E-2
3.045573245E0,1.177137368E-3,-1.502178796E-2,4.413318262E-2
3.057572376E0,3.620598232E-3,-8.913134225E-3,4.474404454E-2
3.069570841E0,7.285790052E-3,1.368887909E-2,3.069414571E-2
3.081569539E0,7.285790052E-3,2.285185829E-2,1.297905389E-2
3.093568004E0,8.507520892E-3,2.082439605E-3,7.617489900E-4
3.105566536E0,5.662720650E-4,-1.624351740E-2,-9.012094699E-3
3.117564601E0,-6.153245457E-3,-1.380005665E-2,-1.681711990E-3
3.128179351E0,-9.207571857E-3,8.607091149E-4,7.481266279E-3
3.140177349E0,-7.374976296E-3,1.552147511E-2,1.786597632E-2
3.152175747E0,-1.877188915E-3,-3.610213753E-4,2.580722421E-2
3.164173977E0,2.398867859E-3,-1.135659590E-2,3.008328006E-2
3.176171740E0,2.398867859E-3,-1.013486460E-2,2.275289781E-2
3.188170403E0,4.842328839E-3,-5.247943569E-3,9.313862771E-3
3.200169066E0,1.788002555E-3,-9.718865622E-4,-9.622960351E-3
3.212167930E0,3.620598232E-3,-2.804482123E-3,-2.733805217E-2
3.224166828E0,4.231463652E-3,-9.523999877E-3,-2.917064913E-2
3.234166926E0,1.788002555E-3,-2.174130455E-2,-2.184026502E-2
3.246165391E0,-1.266323728E-3,-2.418476716E-2,-9.012094699E-3
3.258164056E0,3.620598232E-3,-1.318919193E-2,-2.903442597E-3
3.270162521E0,1.095098071E-2,3.304170212E-3,-5.957768764E-3
3.282160786E0,1.156184636E-2,1.002368703E-2,-9.012094699E-3
3.294158717E0,4.231463652E-3,1.429974474E-2,-5.346903112E-3
3.306157182E0,-4.459316187E-5,-7.691404317E-3,2.594344551E-3
3.318156414E0,-1.266323728E-3,-2.418476716E-2,8.702997118E-3
3.330154812E0,-1.287276391E-2,-1.868698001E-2,9.924727492E-3
3.342153344E0,-1.470535900E-2,-9.718865622E-4,2.594344551E-3
3.354151876E0,-1.042930223E-2,1.002368703E-2,-1.206642110E-2
3.366150341E0,-4.320649896E-3,4.525900353E-3,-1.939680427E-2
3.378147839E0,-4.459316187E-5,-6.469673477E-3,-1.573161222E-2
3.390146469E0,4.231463652E-3,-1.318919193E-2,1.508837158E-4
3.402145234E0,6.064059213E-3,-7.080539130E-3,8.092131466E-3
3.414144166E0,1.034011599E-2,-3.415347543E-3,9.313862771E-3
3.426143429E0,1.095098071E-2,-4.026212730E-3,8.092131466E-3
3.436143760E0,5.453194026E-3,3.304170212E-3,6.870401558E-3
3.448142891E0,1.177137368E-3,1.002368703E-2,8.092131466E-3
3.460141922E0,-6.764111109E-3,-1.196746062E-2,1.175732352E-2
3.472140722E0,-9.207571857E-3,-1.318919193E-2,1.358991954E-2
3.484139187E0,-8.596706204E-3,2.082439605E-3,9.924727492E-3
3.496137652E0,-6.554583670E-4,1.613233984E-2,-1.070846803E-3
3.508136184E0,5.453194026E-3,1.307801437E-2,-1.084469073E-2
3.520134616E0,6.064059213E-3,5.136766005E-3,-6.568633951E-3
3.532133014E0,-5.542380270E-3,3.915035166E-3,5.648671184E-3
3.544131479E0,-1.653795503E-2,-7.080539130E-3,1.297905389E-2
3.556129344E0,-2.570093423E-2,-1.441092230E-2,1.420078427E-2
3.568127809E0,-2.081401087E-2,-7.691404317E-3,6.259536371E-3
3.580126540E0,-7.985841483E-3,-4.637078382E-3,4.426940344E-3
3.592124639E0,6.064059213E-3,3.915035166E-3,3.816075157E-3
3.604123171E0,2.011395991E-2,1.491061039E-2,1.372614293E-3
3.616122203E0,2.561174706E-2,-5.247943569E-3,-3.514307784E-3
3.628121234E0,2.927693911E-2,-4.026212730E-3,-7.179499138E-3
3.640119799E0,1.644876786E-2,-3.610213753E-4,-1.389901713E-2
3.652118597E0,4.842328839E-3,-9.523999877E-3,-2.000766993E-2
3.664117062E0,-4.931515083E-3,-7.080539130E-3,-2.367286198E-2
3.676115760E0,-7.985841483E-3,8.607091149E-4,-2.306199633E-2
3.688113592E0,-5.542380270E-3,7.580226753E-3,-5.957768764E-3
3.700111357E0,-3.098919289E-3,3.304170212E-3,1.175732352E-2
3.712109922E0,-6.554583670E-4,8.191092871E-3,2.458549291E-2
3.724108387E0,-6.554583670E-4,1.246714871E-2,2.458549291E-2
3.736107351E0,-3.098919289E-3,-1.582751865E-3,1.175732352E-2
3.748105816E0,-1.266323728E-3,-5.858808290E-3,-9.012094699E-3
3.760104515E0,2.398867859E-3,-7.080539130E-3,-2.367286198E-2
3.772102613E0,-6.554583670E-4,-3.610213753E-4,-2.855978161E-2
3.784101209E0,-3.098919289E-3,1.063455269E-2,-2.794891782E-2
3.796099106E0,1.177137368E-3,5.747631192E-3,-1.023382600E-2
3.808097769E0,2.398867859E-3,-4.637078382E-3,1.603338122E-2
3.820096532E0,8.507520892E-3,-1.196746062E-2,3.497020155E-2
3.832096062E0,1.705963351E-2,-1.074573025E-2,3.985712305E-2
3.844094527E0,1.828136481E-2,2.498438698E-4,2.886154875E-2
3.856092126E0,1.583790220E-2,2.498438698E-4,5.037805531E-3
3.868090591E0,1.217271108E-2,2.498438698E-4,-1.145555638E-2
3.880089389E0,1.177137368E-3,6.358496379E-3,-2.428372577E-2
3.892087053E0,-1.531622373E-2,-1.257832628E-2,-2.428372577E-2
3.904085518E0,-2.509006858E-2,-9.523999877E-3,-1.939680427E-2
3.916083983E0,-2.692266554E-2,6.969361566E-3,-3.514307784E-3
3.928082515E0,-2.020314522E-2,1.185628306E-2,6.259536371E-3
3.940080313E0,-6.764111109E-3,1.368887909E-2,1.481164899E-2
3.952078778E0,7.896655239E-3,4.525900353E-3,2.092030086E-2
3.964077243E0,1.644876786E-2,-2.804482123E-3,1.969857141E-2
3.976076641E0,1.767049916E-2,2.498438698E-4,5.648671184E-3
3.988075039E0,1.095098071E-2,-3.415347543E-3,-9.622960351E-3
4.000073771E0,1.788002555E-3,-7.691404317E-3,-1.634247787E-2
4.012072536E0,-4.459316187E-5,-4.026212730E-3,-1.512074750E-2
