"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.207758787E0,-1.221080124E-1,1.462901950E0,9.737515450E0
2.219757118E0,-1.867534369E-1,1.446141958E0,9.708784103E0
2.231755783E0,-3.878725171E-1,1.448536277E0,9.682447433E0
2.243754248E0,-4.812492430E-1,1.479661822E0,9.653716087E0
2.255752547E0,-4.477293789E-1,1.501210332E0,9.850046158E0
2.267750945E0,-2.992843390E-1,1.484450340E0,9.981731415E0
2.279749043E0,-1.412622184E-1,1.455719113E0,1.001525116E1
2.291746407E0,-2.154847234E-2,1.453324795E0,1.007032013E1
2.303745170E0,4.309694469E-2,1.443747759E0,1.002961731E1
2.315744600E0,5.746259540E-2,1.446141958E0,9.866806030E0
2.327744198E0,-6.943397224E-2,1.446141958E0,9.668081284E0
2.337744496E0,-1.819648892E-1,1.441353440E0,9.560338974E0
2.347744594E0,-3.040728867E-1,1.462901950E0,9.514847755E0
2.359744491E0,-3.256213665E-1,1.438959122E0,9.512454033E0
2.371744122E0,-3.495641351E-1,1.467690468E0,9.538790703E0
2.383743586E0,-2.873129845E-1,1.426987767E0,9.608224869E0
2.395742783E0,-2.346389294E-1,1.410227895E0,9.711178780E0
2.407740981E0,-1.388679445E-1,1.446141958E0,9.816526413E0
2.419740246E0,-8.858817071E-2,1.438959122E0,9.828497887E0
2.431738912E0,-2.633702382E-2,1.458113313E0,9.806949615E0
2.443737377E0,-9.577099234E-3,1.467690468E0,9.797372818E0
2.455735808E0,-6.943397224E-2,1.472478986E0,9.725543976E0
2.467735073E0,-1.628106833E-1,1.494027495E0,9.723150253E0
2.479733538E0,-2.537931204E-1,1.489238977E0,9.723150253E0
2.491732370E0,-2.346389294E-1,1.479661822E0,9.713572502E0
2.503730835E0,-1.723877788E-1,1.465296149E0,9.802161217E0
2.515729300E0,-4.788549617E-2,1.498816013E0,9.821314812E0
2.527727765E0,-2.394274808E-3,1.482056141E0,9.766246796E0
2.539726763E0,2.873129770E-2,1.465296149E0,9.727938652E0
2.551724861E0,-1.915419847E-2,1.455719113E0,9.692024231E0
2.563723259E0,-1.005595401E-1,1.419804931E0,9.703995705E0
2.575721724E0,-3.375927508E-1,1.419804931E0,9.675264359E0
2.587720256E0,-5.554717779E-1,1.441353440E0,9.610619545E0
2.599718588E0,-5.315290093E-1,1.465296149E0,9.694418907E0
2.611716986E0,-4.166038036E-1,1.491633177E0,9.799766541E0
2.623715451E0,-2.322446555E-1,1.529941559E0,9.835680962E0
2.635714049E0,-6.703969836E-2,1.515576005E0,9.914691925E0
2.647712514E0,4.549122229E-2,1.491633177E0,9.871595383E0
2.659710179E0,7.182824612E-2,1.498816013E0,9.814132690E0
2.671709177E0,-2.394274808E-2,1.508393168E0,9.756669998E0
2.683707709E0,-1.723877788E-1,1.515576005E0,9.711178780E0
2.695706040E0,-3.351984620E-1,1.501210332E0,9.689630508E0
2.707704505E0,-4.094209969E-1,1.486844659E0,9.665687561E0
2.719703836E0,-3.974496126E-1,1.486844659E0,9.708784103E0
2.731701401E0,-2.944957912E-1,1.517970204E0,9.732727051E0
2.743699932E0,-1.388679445E-1,1.529941559E0,9.687235832E0
2.755698662E0,-5.746259540E-2,1.549095750E0,9.682447433E0
2.767697258E0,-5.027977005E-2,1.529941559E0,9.699207306E0
2.779695921E0,-5.985686928E-2,1.515576005E0,9.747093201E0
2.791695418E0,-1.412622184E-1,1.474873304E0,9.744698524E0
2.803694015E0,-2.729473412E-1,1.474873304E0,9.785401344E0
2.815693713E0,-3.830839694E-1,1.491633177E0,9.747093201E0
2.827692178E0,-3.375927508E-1,1.491633177E0,9.732727051E0
2.839691510E0,-2.537931204E-1,1.501210332E0,9.761458397E0
2.851690109E0,-8.858817071E-2,1.508393168E0,9.718361855E0
2.863688574E0,2.633702382E-2,1.501210332E0,9.773429871E0
2.875686239E0,4.070267081E-2,1.450930476E0,9.818921089E0
2.887684704E0,-7.182824612E-2,1.419804931E0,9.869200706E0
2.899682436E0,-1.699935049E-1,1.436564922E0,9.900326729E0
2.911680334E0,-3.040728867E-1,1.441353440E0,9.821314812E0
2.923678732E0,-4.189980924E-1,1.486844659E0,9.744698524E0
2.935676264E0,-3.998439014E-1,1.508393168E0,9.696812630E0
2.947674729E0,-2.418217510E-1,1.573038578E0,9.596253395E0
2.959672294E0,-1.532335877E-1,1.568249941E0,9.601041794E0
2.971670725E0,-6.225114316E-2,1.558672905E0,9.646533012E0
2.983669190E0,-4.070267081E-2,1.563461423E0,9.682447433E0
2.995667822E0,-1.388679445E-1,1.539518714E0,9.730332375E0
3.007666354E0,-2.944957912E-1,1.520364523E0,9.732727051E0
3.019664952E0,-3.399870098E-1,1.508393168E0,9.706390381E0
3.031663350E0,-3.232271075E-1,1.479661822E0,9.732727051E0
3.043661815E0,-2.825244367E-1,1.513181686E0,9.763853073E0
3.055660946E0,-1.939362586E-1,1.498816013E0,9.749486923E0
3.067659411E0,-8.379961550E-2,1.505998850E0,9.799766541E0
3.079658042E0,-4.788549617E-2,1.510787368E0,9.773429871E0
3.091656574E0,-7.182824612E-2,1.510787368E0,9.718361855E0
3.103655106E0,-1.364736706E-1,1.520364523E0,9.708784103E0
3.115653171E0,-1.436564922E-1,1.498816013E0,9.723150253E0
3.128179351E0,-1.795706153E-1,1.498816013E0,9.778218269E0
3.140177349E0,-2.130904645E-1,1.498816013E0,9.780612946E0
3.152175747E0,-1.723877788E-1,1.470084786E0,9.739910126E0
3.164173977E0,-1.316851079E-1,1.450930476E0,9.783006668E0
3.176171740E0,-7.182824612E-2,1.460507631E0,9.778218269E0
3.188170403E0,-4.070267081E-2,1.462901950E0,9.773429871E0
3.200169066E0,-5.506832153E-2,1.479661822E0,9.763853073E0
3.212167930E0,-7.182824612E-2,1.474873304E0,9.759063721E0
3.224166828E0,-1.915419847E-1,1.446141958E0,9.747093201E0
3.234166926E0,-2.250618339E-1,1.426987767E0,9.735121727E0
3.246165391E0,-1.675992310E-1,1.448536277E0,9.735121727E0
3.258164056E0,-1.053480953E-1,1.484450340E0,9.744698524E0
3.270162521E0,-9.098244458E-2,1.503604531E0,9.725543976E0
3.282160786E0,-1.580221355E-1,1.494027495E0,9.708784103E0
3.294158717E0,-2.466102988E-1,1.467690468E0,9.725543976E0
3.306157182E0,-2.418217510E-1,1.482056141E0,9.689630508E0
3.318156414E0,-2.250618339E-1,1.477267504E0,9.732727051E0
3.330154812E0,-1.604164094E-1,1.462901950E0,9.727938652E0
3.342153344E0,-8.379961550E-2,1.505998850E0,9.751881599E0
3.354151876E0,-9.577099234E-2,1.517970204E0,9.802161217E0
3.366150341E0,-1.508393139E-1,1.525153041E0,9.771035194E0
3.378147839E0,-2.250618339E-1,1.515576005E0,9.751881599E0
3.390146469E0,-2.083019018E-1,1.520364523E0,9.759063721E0
3.402145234E0,-1.699935049E-1,1.510787368E0,9.737515450E0
3.414144166E0,-1.747820675E-1,1.537124395E0,9.701601982E0
3.426143429E0,-1.652049571E-1,1.544307232E0,9.696812630E0
3.436143760E0,-2.322446555E-1,1.534730196E0,9.725543976E0
3.448142891E0,-2.202732861E-1,1.520364523E0,9.668081284E0
3.460141922E0,-1.747820675E-1,1.534730196E0,9.663292885E0
3.472140722E0,-1.125309169E-1,1.539518714E0,9.713572502E0
3.484139187E0,-6.943397224E-2,1.527547359E0,9.751881599E0
3.496137652E0,-1.005595401E-1,1.522758722E0,9.804554939E0
3.508136184E0,-1.556278616E-1,1.491633177E0,9.727938652E0
3.520134616E0,-2.083019018E-1,1.460507631E0,9.737515450E0
3.532133014E0,-2.154847383E-1,1.470084786E0,9.713572502E0
